Date;Open;High;Low;Close*;Adj Close**;Volume
Mar 28, 2017;421.00;425.75;419.25;424.50;424.50;51,332
Mar 27, 2017;426.00;426.00;418.25;420.75;420.75;51,967
Mar 24, 2017;421.50;426.25;420.75;424.75;424.75;49,583
Mar 23, 2017;421.50;424.75;420.00;421.00;421.00;48,848
Mar 22, 2017;427.00;427.25;421.25;422.25;422.25;52,127
Mar 21, 2017;430.50;430.50;423.00;426.50;426.50;63,987
Mar 20, 2017;439.25;442.75;429.00;430.25;430.25;58,04
Mar 17, 2017;434.75;437.75;433.00;436.25;436.25;31,605
Mar 16, 2017;436.00;440.75;434.50;436.00;436.00;42,947
Mar 15, 2017;431.00;437.00;430.50;436.00;436.00;49,625
Mar 14, 2017;412.25;413.00;412.00;412.00;412.00;58,513
Mar 13, 2017;419.50;419.50;412.25;412.25;412.25;49
Mar 10, 2017;428.00;428.00;422.75;422.75;422.75;14
Mar 09, 2017;432.00;432.50;425.00;426.00;426.00;27
Mar 08, 2017;431.50;431.50;426.00;427.50;427.50;189
Mar 07, 2017;440.00;440.00;432.25;436.00;436.00;306
Mar 06, 2017;436.00;441.75;436.00;438.25;438.25;587
Mar 03, 2017;430.25;434.25;429.00;433.75;433.75;729
Mar 02, 2017;436.75;437.75;432.00;432.00;432.00;1,153
Mar 01, 2017;424.25;435.50;422.75;435.50;435.50;1,611
Feb 28, 2017;420.00;435.50;419.50;424.75;424.75;7,864
Feb 27, 2017;430.00;431.00;418.25;418.75;418.75;38,376
Feb 24, 2017;438.25;438.50;430.00;431.25;431.25;52,859
Feb 23, 2017;441.25;444.25;436.25;438.00;438.00;34,394
Feb 22, 2017;436.00;443.00;435.25;441.25;441.25;49,816
Feb 21, 2017;439.75;440.75;435.00;436.00;436.00;55,218
Feb 17, 2017;445.50;447.50;440.25;441.00;441.00;66,629
Feb 16, 2017;453.50;464.25;445.25;447.75;447.75;91,91
Feb 15, 2017;449.00;455.50;446.25;454.75;454.75;53,895
Feb 14, 2017;450.50;452.00;446.25;449.50;449.50;63,197
Feb 13, 2017;447.75;456.00;444.25;452.25;452.25;119,108
Feb 10, 2017;442.50;450.75;441.00;449.00;449.00;126,174
Feb 09, 2017;430.50;444.00;429.50;443.50;443.50;150,249
Feb 08, 2017;430.50;433.25;427.50;432.50;432.50;93,3
Feb 07, 2017;422.50;431.00;419.75;430.75;430.75;106,31
Feb 06, 2017;429.00;432.25;422.25;422.50;422.50;61,389
Feb 03, 2017;434.50;435.75;429.25;430.25;430.25;58,722
Feb 02, 2017;432.75;437.75;429.75;434.50;434.50;73,989
Feb 01, 2017;421.00;434.50;417.00;433.75;433.75;102,491
Jan 31, 2017;414.00;421.25;413.00;420.75;420.75;60,231
Jan 30, 2017;417.50;419.25;412.75;414.00;414.00;59,66
Jan 27, 2017;426.50;427.50;419.25;420.50;420.50;64,696
Jan 26, 2017;425.25;430.50;421.75;427.00;427.00;59,387
Jan 25, 2017;425.75;428.75;423.00;424.50;424.50;46,225
Jan 24, 2017;433.00;434.75;426.00;426.75;426.75;57,334
Jan 23, 2017;429.00;433.75;427.50;433.25;433.25;51,61
Jan 20, 2017;423.50;428.75;421.50;428.25;428.25;56,203
Jan 19, 2017;430.50;430.75;422.75;423.50;423.50;64,375
Jan 18, 2017;433.25;434.50;428.25;431.00;431.00;67,785
Jan 17, 2017;426.50;437.50;423.75;433.50;433.50;107,763
Jan 13, 2017;426.25;426.75;419.25;426.00;426.00;72,435
Jan 12, 2017;419.00;430.00;414.50;426.25;426.25;133,095
Jan 11, 2017;426.25;426.25;412.00;418.75;418.75;109,829
Jan 10, 2017;426.75;427.25;423.50;426.75;426.75;64,135
